basename,objectid,frame,run,date,camera,film_number,film_type,focal_length,photo_series,original_lon,original_lat,original_alt_m,estimated_lon,estimated_lat,estimated_alt_m,alignment_error_m,x_error,y_error,z_error,aligned_in_agisoft,source_url,preview_url,thumbnail_url
MAP1873_frame13775.tif,559122,13775,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.75,-31.912,3048,115.755052,-31.909294,3019.514639,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13775.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13775_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13775_thumbnail.jpg
MAP1873_frame13776.tif,559118,13776,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.763,-31.911,3048,115.765527,-31.908348,2665.208364,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13776.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13776_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13776_thumbnail.jpg
MAP1873_frame13777.tif,559120,13777,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.777,-31.91,3048,115.775946,-31.905948,1653.322959,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13777.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13777_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13777_thumbnail.jpg
MAP1873_frame13778.tif,559121,13778,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.79,-31.909,3048,115.786560,-31.904525,1532.099785,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13778.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13778_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13778_thumbnail.jpg
MAP1873_frame13779.tif,559119,13779,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.804,-31.907,3048,115.796088,-31.903567,3210.518161,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13779.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13779_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13779_thumbnail.jpg
MAP1873_frame13780.tif,559124,13780,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.817,-31.906,3048,115.804683,-31.901736,4038.094976,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13780.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13780_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13780_thumbnail.jpg
MAP1873_frame13781.tif,559128,13781,10,14 January 1942,Williamson Eagle 4,MAP1873,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.827,-31.905,3048,115.813712,-31.900375,416.117286,,,,,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/MAP1873_frame13781.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Preview/MAP1873_frame13781_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1873/Thumbnail/MAP1873_frame13781_thumbnail.jpg
MAP1481_frame13836.tif,559139,13836,15,14 January 1942,Williamson Eagle 4,MAP1481,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.744,-32.006,3048,115.742947,-32.007442,3061.544024,188.921930,-99.558024,-159.988060,13.546813,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/MAP1481_frame13836.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/Preview/MAP1481_frame13836_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/Thumbnail/MAP1481_frame13836_thumbnail.jpg
MAP1481_frame13837.tif,559140,13837,15,14 January 1942,Williamson Eagle 4,MAP1481,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.753,-32.006,3048,115.748682,-32.006998,3051.894853,422.939984,-408.174809,-110.708068,3.908860,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/MAP1481_frame13837.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/Preview/MAP1481_frame13837_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/Thumbnail/MAP1481_frame13837_thumbnail.jpg
MAP1481_frame13838.tif,559142,13838,15,14 January 1942,Williamson Eagle 4,MAP1481,Black and White,8.25 in,"Military Mapping Photography - Perth, Perth",115.763,-32.006,3048,115.759687,-32.006114,3064.672968,313.895876,-313.197561,-12.635842,16.680660,Yes,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/MAP1481_frame13838.tif,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/Preview/MAP1481_frame13838_preview.jpg,https://aerialphotography.ga.gov.au/Scanned/MAP/MAP1481/Thumbnail/MAP1481_frame13838_thumbnail.jpg
