Reference #,Title,Agency,Contract Value
PRODOC25103,PW10682 PB Refurbishment 11 Coolibah Way Wickham WA,Programmed Facility Management,"$ 157,185.00 "
SMHS202413924,Provision of a Workplace Injury Early Intervention Program (EIP) for South Metropolitan Health Service (SMHS),South Metropolitan Health Service,"$ 1,023,863.00 "
DWER200525,Bank Stability Works at Sandalwood - Brunswick River,Department of Water and Environmental Regulation,"$ 194,695.00 "
DWER105525,Water Monitoring Services,Department of Water and Environmental Regulation,"$ 840,000.00 "
PRODOC25102,"PB Refurbishment 19B Nelley Way, Wickham",Programmed Facility Management,"$ 189,892.00 "
DHW0475225,Department of Training & Work Place Development - Northern Regional TAFE Broome - Mains Electrical Supply Repairs,Department of Housing and Works,"$ 132,488.00 "
DHW0187802625,Department of Training and Workforce Development - Busselton TAFE Campus - Stormwater repairs,Department of Housing and Works,"$ 171,981.00 "
DWER106225,Environmental Protection Authority (EPA) Audiovisual (AV) Expansion,Department of Water and Environmental Regulation,"$ 206,769.00 "
DWER104925,Content Manager Licence Renewal and Support,Department of Water and Environmental Regulation,"$ 1,445,748.00 "
PROPTA25035,Redcliffe Wash Bay Upgrade,Programmed Facility Management,"$ 170,916.00 "
SMT2023097,Midrise Demonstration Educational Model,South Metropolitan TAFE,"$ 245,190.00 "
DFESPOREQ0007276,Procurement Officer,Department of Fire and Emergency Services,"$ 81,400.00 "
DHW0305425,Department of Education - Champion Bay Senior High School - Sports Hall - Election Commitment 2025 - Architectural Services,Department of Housing and Works,"$ 739,640.00 "
DHW0011726,Department of Education - One Arm Point Remote Community School - Fallen Trees Removal Tropical Cyclone Hayley,Department of Housing and Works,"$ 34,087.00 "
PRODOC25096,PW10611 PB Windows and Security Screens Karratha Pkg 6,Programmed Facility Management,"$ 109,340.00 "
WACHS202515324,"Provision of Consultancy Services for Kalbarri Health Campus Heating, Ventilation and Air Conditioning (HVAC) Mechanical Upgrade",WA Country Health Service,"$ 100,078.00 "
PRODOC25098,"Refurbishment - 17 Dowley Street, Cue",Programmed Facility Management,"$ 167,000.00 "
PTA250017,Provision of the Narrogin Regional Town Bus Services,Public Transport Authority,"$ 796,325.00 "
DHW0476125,"Department of Housing and Works - Provision of Routine Maintenance for Stormwater Management - Gutters, Downpipes and Stormwater Systems",Department of Housing and Works,"$ 711,034.00 "
WACHS202615363,GP Integrated Paediatric Development Clinic,WA Country Health Service,"$ 93,181.00 "
DHW0406725,Department of Education - Sheoak Grove Primary School - Installation of 2 x GLA Transportable Units,Department of Housing and Works,"$ 425,715.00 "
DPIRD2025267,Supply of Bulk Strawberries,Department of Primary Industries and Regional Development,"$ 90,000.00 "
MRWA0349240247,Provision of Temporary Personnel - Regional Management Operations - Electrical Asset Management - Data Analyst Support,Main Roads Western Australia,"$ 89,215.00 "
MCB20252613,Internal Road Construction Lawn Y,Metropolitan Cemeteries Board,"$ 131,120.00 "
WAPOL18624,VMware - Provision of virtualisation software with maintenance and support,Western Australia Police Force,"$ 7,190,000.00 "
DOC20249429,"Provision of a Concierge Service for the Department of Communities, Armadale District",Department of Communities,"$ 72,309.00 "
DHW0511525,Department of Justice - Broome Regional Prison - Removal of Asbestos Contaminated Material,Department of Housing and Works,"$ 29,260.00 "
DHW0338424,Provision of Routine Maintenance for Pest Control – Various Agencies – Various Sites – West Kimberley and East Kimberley,Department of Housing and Works,"$ 455,250.00 "
HSS202515531,The Provision of a Business Analyst Services for ASK project.,Health Support Services,"$ 147,620.00 "
HSS202515530,Provision of Lead Developer Resource for SF&R - Western Australia Virtue Emergency Department (WAVED),Health Support Services,"$ 104,676.00 "
LW2584,Content Manager Licence Maintenance,Lotterywest,"$ 283,225.00 "
MRWA006925,Supply and Delivery of Transportable Accommodation Units (Karratha) - Pilbara Region,Main Roads Western Australia,"$ 7,395,799.00 "
MRWA0006200074,Provision of Senior ITS Business Analyst Services,Main Roads Western Australia,"$ 229,900.00 "
MCB20252602,Grounds Maintenance for Rockingham Regional Memorial Park,Metropolitan Cemeteries Board,"$ 820,000.00 "
PROMSA25161,Resurface Basketball Courts - Floreat Park PS,Programmed Facility Management,"$ 375,095.00 "
PTA250019,Provision of Carnarvon Regional Town Bus Services,Public Transport Authority,"$ 6,243,379.00 "
SBDC112025,Data Centre Infrastructure Refresh,Small Business Development Corporation,"$ 232,676.00 "
20241704WAM,"Audio-Visual Services for Functions, Events and Programs",Western Australian Museum,"$ 1,000,000.00 "
TWA2607,International Employer of Record Services – China,Western Australian Tourism Commission,"$ 110,000.00 "
TWA2606,International Employer of Record Services – Southeast Asia,Western Australian Tourism Commission,"$ 140,000.00 "
DHW0510525,WA Police Force - Wyndham Police Station - Security System Upgrade,Department of Housing and Works,"$ 34,600.00 "
DHW0477925,Provision of Routine Maintenance for HVAC Mechanical Services - Department of Justice - West Kimberley Regional Prison,Department of Housing and Works,"$ 153,178.00 "
DHW0415125,Department of Housing and Works - Provision of Routine Maintenance for Sewerage and Waste Systems - Liquid Waste - Various Sites and Agencies - Southern Region,Department of Housing and Works,"$ 1,862,339.00 "
DHW0372025,Department of Education - Karrinyup Primary School - Major Upgrade - Cost Management Services,Department of Housing and Works,"$ 217,800.00 "
DEMIRS24989,Provision of PC Build Officers and Desktop Technology Provisioning Officers Services,"Department of Local Government, Industry Regulation and Safety","$ 1,349,849.00 "
DPLH407425,Engagement of a Principal Implementation Advisor for SAP under CUATPS2024,"Department of Planning, Lands and Heritage","$ 155,308.00 "
DPIRD2025268,Disposal of one (1) Toyota Forklift,Department of Primary Industries and Regional Development,$ 860.00 
LAWA20250813,Veeam Backup Software Licenses,Legal Aid Commission of WA,"$ 208,594.00 "
LW25195,Provision of Netbackup Expansion Shelves,Lotterywest,"$ 325,434.00 "
MRWA011524,Construction of Chester Pass Road and Menang Drive Flyover (Great Southern Region),Main Roads Western Australia,"$ 39,519,759.00 "
PWST202515555,Non-Compliance Contract to enable to purchase Server Infrastructure and Backup Infrastructure.,PathWest Laboratory Medicine WA,"$ 270,000.00 "
PROMSA25172,Pool Changeroom Upgrades Kent Street Senior High School,Programmed Facility Management,"$ 195,532.00 "
PROMSA25168,Roof Access & Fall Restraint Program,Programmed Facility Management,"$ 387,000.00 "
PTA250014,Provision of the Port Hedland Regional Town Bus Service,Public Transport Authority,"$ 21,927,349.00 "
DBCARIAT0326,Hybrid Electricity Generating System - Engineering Services Consultant,Rottnest Island Authority,"$ 1,786,255.00 "
DBCARIAQ2426,Rottnest Island Electrical Distribution Network Upgrade Phase 2 - Design and associated Engineering Services,Rottnest Island Authority,"$ 297,389.00 "
WACHS202515165,Provision of Maintenance of the Solar Power System Onslow Health Service,WA Country Health Service,"$ 184,676.00 "
WACHS202514961,"Replacement of and ongoing Maintenance Services to the Duress System at Community Mental Health, Bunbury Hospital",WA Country Health Service,"$ 152,457.00 "
CoP2024003,Provision of Oral Fluid Drug Screening Test Kits,Western Australia Police Force,"$ 13,230,000.00 "
20251291WAM,Board Management Solution,Western Australian Museum,"$ 164,543.00 "
CAHS202514679Rev1,Provision of SureSmile® Products and Services,Child and Adolescent Health Service,"$ 123,305.00 "
DBCA409WT0812025,"DBCA East Kimberley, Kununurra Office Extension","Department of Biodiversity, Conservation and Attractions","$ 1,941,332.00 "
CITS2516,Civics and Citizenship Recognition and Community Education Program 2026 - 2031,"Department of Creative Industries, Tourism and Sport","$ 584,192.00 "
ED252407,Year 10 Sport Elite Program Melbourne Tour for Aveley Secondary College,Department of Education,"$ 85,840.00 "
ED251496,Interactive Projectors for Canning Vale College,Department of Education,"$ 197,686.00 "
DEED2526020,State Advertising Campaign - Creative,Department of Energy and Economic Diversification,"$ 249,999.00 "
DHW0742902422,Western Australia Police Force - Warmun MFPF 7447 - Replacement of toilets to both cells,Department of Housing and Works,"$ 27,274.00 "
DHW0388025,Department of Education - Hampton Senior High School -  Removal of 3 x GLA from Shenton College and Installation of 3 x GLA Transportable Unit,Department of Housing and Works,"$ 509,950.00 "
DHW0381225,Department of Education - Bentley Primary School - Installation of 1 GLA and 1 KPP,Department of Housing and Works,"$ 275,666.00 "
DHW0149525,Department of Education - Norseman District High School - Bitumen Playcourt Upgrade Works,Department of Housing and Works,"$ 129,591.00 "
LGIRS25434,Geoscience Data Specialist,"Department of Mines, Petroleum and Exploration","$ 200,000.00 "
LGIRS25405,"Supply, Delivery with Post Warranty Service and Maintenance of Vertical Storage System","Department of Mines, Petroleum and Exploration","$ 291,000.00 "
DPIRD2025241,Provision of Cleaning Services for the Department of Primary Industries and Regional Development Broome District Office,Department of Primary Industries and Regional Development,"$ 117,080.00 "
DTMI420725,Datacentre Co-Location Equinox Shenton Park,Department of Transport and Major Infrastructure,"$ 361,746.00 "
NRTAFE122025,NRTAFE122025 - Supply and Delivery of Two (2) types of Twelve (12) Welders for NR TAFE Karratha Campus,North Regional TAFE,"$ 282,579.00 "
PWST202514824,"J Block Level 1 Refit of Churn Space and Forensic Pathology, QEII",PathWest Laboratory Medicine WA,"$ 296,897.00 "
PROMSA25195,Fire Upgrades - Sevenoaks Senior College,Programmed Facility Management,"$ 531,945.00 "
PROMSA25180,CCTV Cameras Installation Gilmour College,Programmed Facility Management,"$ 232,352.00 "
