SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000030,Golden Crown,Beatons Creek - Golden Crown,Mine,Openpit,Operating,J04143,Beatons Creek JV,120.101607999999999,-21.870318999999999,200461,7578703,51,Au,Precious metal,GOLD,,N,,,,,Public,2954,NULLAGINE,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Northeast Pilbara Sub-basin,20260112
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655366999999998,-27.318646000000001,564839,6978101,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20260112
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347196999999994,-26.869456000000000,633824,7027312,50,Au Ag,Precious metal,GOLD,Aladdin,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20260112
S0000046,Bluebird,Bluebird - Bluebird South,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.425111999999999,-26.716235000000001,641755,7044201,50,Au Ag,Precious metal,GOLD,Bluebird South,N,,N,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20260112
S0000053,Southern Stockworks,Boorara Open Pit - Southern Stockworks,Mine,Openpit,Operating,J02851,Boorara / Horizon,121.644093999999996,-30.809280000000001,370294,6590748,51,Au Ag,Precious metal,GOLD,Boorara,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20260112
S0000077,Butterfly 1,Butterfly 1,Mine,Openpit,Operating,J02010,Ulysses Gold,121.380359999999996,-29.197996000000000,342538,6768992,51,Au Ag,Precious metal,GOLD,Butterfly,N,,N,,Operating Mine,Public,3139,MELITA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",40,NIAGARA,Eastern Goldfields Superterrane,20260112
S0000101,North Royal,North Royal - Princess Royal Opencut,Mine,Openpit,Operating,J00056,Central Norseman,121.808097000000004,-32.123246999999999,387566,6445281,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3233,NORSEMAN,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20260112
S0000102,OK,OK,Mine,Decline,Operating,J00056,Central Norseman,121.784914999999998,-32.218549000000003,385498,6434692,51,Au Ag,Precious metal,GOLD,OK,N,,N,,Operating Mine,Public,3233,NORSEMAN,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20260112
S0000158,Dreadnought,Dreadnought,Mine,Openpit,Operating,J00014,Coolgardie Gold / Focus,121.170693000000000,-30.995080000000002,325340,6569507,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20260112
S0000181,Morrison,Morrison,Mine,Openpit,Operating,J00102,Golden Mile / KCGM,121.508476000000002,-30.789470999999999,357290,6592778,51,Au Ag,Precious metal,GOLD,Morrison,N,,N,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20260112
