WELL_NAME,UWI,BASIN,LEASE_NO,LONG,LAT,OPERATOR,CLASS,STATUS,FIELD,SPUD_DATE,RIG_RELEASE_DATE,EXTRACT_DATE
Cape Range 1,W000021,Northern Carnarvon,LP-35H,114.012177,-22.065914,West Australian Petroleum Pty Limited,NFW,P&A,,19540902,19541227,20260417
Cape Range 2,W000022,Northern Carnarvon,LP-35H,113.99621,-22.09619,West Australian Petroleum Pty Limited,NFW,P&A,,19550420,19560402,20260417
Exmouth Structure Hole 2,W000026,Southern Carnarvon,LP-18H,114.139952,-22.35834,West Australian Petroleum Pty Limited,STR,P&A STR,,19561117,19561124,20260417
Giralia 1,W000027,Southern Carnarvon,LP-29H,114.169541,-22.99265,West Australian Petroleum Pty Limited,NFW,Water,,19550603,19550720,20260417
Grierson 3,W000030,Southern Carnarvon,LP-33H,113.76015,-24.20193,West Australian Petroleum Pty Limited,STR,P&A STR,,19550607,19550625,20260417
Rough Range 09,W000041,Northern Carnarvon,LP-18H,114.073117,-22.447619,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19551122,19551220,20260417
Rough Range 10,W000042,Northern Carnarvon,LP-18H,114.08748,-22.417759,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19570622,19570711,20260417
Rough Range South 4,W000046,Northern Carnarvon,LP-18H,114.026341,-22.534731,West Australian Petroleum Pty Limited,STR,P&A STR,,19560817,19560902,20260417
Rough Range South 5,W000047,Northern Carnarvon,LP-18H,113.989529,-22.574895,West Australian Petroleum Pty Limited,NFW,P&A,,19561014,19561113,20260417
Meda 1,W000055,Canning,LP-54H,124.193629,-17.397966,West Australian Petroleum Pty Limited,NFW,P&A OGS,,19580608,19581121,20260417
Fraser River 1,W000060,Canning,LP-27H,123.163626,-17.416143,West Australian Petroleum Pty Limited,NFW,P&A,,19551222,19560827,20260417
Fraser River 1 ST,W000060,Canning,LP-27H,123.163626,-17.416143,West Australian Petroleum Pty Limited,NFW,P&A,,19560309,19560827,20260417
Yardarino 3,W000081,Perth,LP-111H,115.055011,-29.225543,West Australian Petroleum Pty Limited,EXT,P&A,,19641008,19641130,20260417
Mungarra 4,W000086,Perth,LP-119H,115.267007,-28.904024,West Australian Petroleum Pty Limited,STR,P&A STR,,19650616,19650630,20260417
Mungarra 5,W000087,Perth,LP-119H,115.138119,-28.894581,West Australian Petroleum Pty Limited,STR,P&A STR,,19650630,19650710,20260417
Yardarino 4,W000092,Perth,LP-111H,115.054439,-29.215976,West Australian Petroleum Pty Limited,EXT,P&A G,Yardarino,19641204,19641230,20260417
Barrow_F36J,W000093,Northern Carnarvon,LP-113H,115.392446,-20.836789,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19641215,19650206,20260417
Barrow_L16J,W000100,Northern Carnarvon,LP-113H,115.392832,-20.801137,West Australian Petroleum Pty Limited,EXT,P&S,Barrow Island,19650212,19650327,20260417
Browne 1,W000123,Officer,PE-147H,125.816022,-25.85001,Hunt Oil Company,STR,P&A STR,,19650906,19650915,20260417
Barrow_G76,W000134,Northern Carnarvon,LP-113H,115.361827,-20.852769,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19651118,19651126,20260417
Hill River 1,W000002,Perth,PE-27H,115.313969,-30.266534,West Australian Petroleum Pty Limited,STR,P&A STR,,19620402,19620425,20260417
Hill River 4,W000005,Perth,PE-27H,115.233692,-30.389871,West Australian Petroleum Pty Limited,STR,P&A STR,,19620619,19620711,20260417
Hawkstone Peak 1,W000017,Canning,LP-101H,124.410007,-17.238589,West Australian Petroleum Pty Limited,NFW,P&A,,19621017,19621202,20260417
Cape Range 3A,W000023,Northern Carnarvon,LP-35H,114.001621,-22.145353,West Australian Petroleum Pty Limited,NFW,P&A,,19560714,19560822,20260417
Cape Range 4,W000024,Northern Carnarvon,LP-36H,113.939093,-22.324134,West Australian Petroleum Pty Limited,NFW,P&A,,19560921,19561010,20260417
Grierson 2,W000029,Southern Carnarvon,LP-33H,113.786539,-24.201931,West Australian Petroleum Pty Limited,STR,P&A STR,,19550513,19550530,20260417
Rough Range 06,W000038,Southern Carnarvon,LP-18H,114.082031,-22.419572,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19541220,19550107,20260417
Rough Range South 1,W000043,Northern Carnarvon,LP-18H,113.962054,-22.62237,West Australian Petroleum Pty Limited,STR,P&A STR,,19560514,19560617,20260417
Rough Range South 2,W000044,Northern Carnarvon,LP-18H,114.005093,-22.564376,West Australian Petroleum Pty Limited,STR,P&A STR,,19560626,19560704,20260417
Warroora 1,W000049,Southern Carnarvon,LP-30H,113.881864,-23.509665,West Australian Petroleum Pty Limited,NFW,P&A,,19550124,19550526,20260417
Paterson 1,W000068,Northern Carnarvon,LP-85H,113.935459,-22.459614,West Australian Petroleum Pty Limited,NFW,P&A,,19631108,19640115,20260417
Tandalgoo 3,W000077,Canning,PE-30H,123.450009,-21.299986,West Australian Petroleum Pty Limited,NFW,P&A,,19631114,19631114,20260417
Mungarra 1,W000083,Perth,LP-119H,115.118674,-28.850414,West Australian Petroleum Pty Limited,STR,P&A STR,,19641003,19641106,20260417
Stansmore Range 1,W000094,Canning,PE-151H,127.965287,-21.259708,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641030,19641031,20260417
Allanooka 1,W000099,Perth,LP-119H,115.014405,-29.142479,West Australian Petroleum Pty Limited,NFW,P&A,,19650108,19650129,20260417
Allanooka 2,W000101,Perth,LP-119H,114.996395,-29.099896,West Australian Petroleum Pty Limited,NFW,P&A,,19650203,19650213,20260417
Gingin 2,W000119,Perth,LP-115H,115.847785,-31.173171,West Australian Petroleum Pty Limited,EXT,P&A G,Gingin,19650725,19660118,20260417
Alexandra Bridge 1,W000122,Perth,PE-27H,115.261567,-34.156292,West Australian Petroleum Pty Limited,STR,P&A STR,,19650727,19650809,20260417
Browne 2,W000124,Officer,PE-147H,125.963869,-25.931938,Hunt Oil Company,STR,P&A STR,,19651013,19651019,20260417
Point Moody 1,W000128,Canning,LP-154H,127.808314,-21.2603,Australian Aquitaine Petroleum Pty Ltd,STR,P&A STR,,19651002,19660115,20260417
Kidson 1,W000130,Canning,LP-155H,125.005027,-22.613119,West Australian Petroleum Pty Limited,STR,P&A STR,,19651121,19660724,20260417
Wandagee Corehole 2,W000009,Southern Carnarvon,PE-28H,114.52896,-23.88829,West Australian Petroleum Pty Limited,STR,P&A STR,,19620116,19620125,20260417
Cape Cuvier 1,W000020,Southern Carnarvon,LP-34H,113.398594,-24.225122,West Australian Petroleum Pty Limited,STR,P&A STR,,19550716,19550905,20260417
Learmonth 1,W000031,Northern Carnarvon,LP-52H,114.061902,-22.183137,West Australian Petroleum Pty Limited,NFW,P&A,,19570924,19580206,20260417
Learmonth 1 ST1,W000031,Northern Carnarvon,LP-52H,114.061902,-22.183137,West Australian Petroleum Pty Limited,NFW,P&A,,,,20260417
Rough Range 01,W000032,Southern Carnarvon,LP-18H,114.083485,-22.417561,West Australian Petroleum Pty Limited,NFW,P&A OS,Rough Range,19530905,19550508,20260417
Rough Range 04,W000036,Southern Carnarvon,LP-18H,114.083547,-22.422379,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19541016,19541103,20260417
Rough Range 05,W000037,Southern Carnarvon,LP-18H,114.077411,-22.417534,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19541110,19541128,20260417
Rough Range 08,W000040,Northern Carnarvon,LP-18H,114.064039,-22.445538,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19550225,19550318,20260417
Thangoo 1,W000059A,Canning,LP-66H,122.8923,-18.366736,West Australian Petroleum Pty Limited,NFW,P&A,,19591107,19591211,20260417
Frome Rocks 2,W000061,Canning,LP-56H,123.661262,-18.253865,West Australian Petroleum Pty Limited,NFW,P&A,,19590219,19590601,20260417
Roebuck Bay 1,W000066,Canning,PE-30H,122.459267,-18.159166,West Australian Petroleum Pty Limited,STR,P&A STR,,19560729,19560904,20260417
Wicherina 1,W000067,Perth,LP-27H,115.242007,-28.831246,West Australian Petroleum Pty Limited,NFW,P&A,,19640214,19640306,20260417
Brooking Springs 1,W000080,Canning,PE-30H,125.634625,-18.068853,West Australian Petroleum Pty Limited,STR,P&A STR,,19621015,19621015,20260417
Stansmore Range 5,W000098,Canning,PE-151H,127.780565,-21.279153,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641106,19641106,20260417
Mt Hill 1,W000102,Perth,PE-27H,114.985343,-29.067915,West Australian Petroleum Pty Limited,STR,P&A STR,,19641108,19641121,20260417
Barrow_L58J,W000118,Northern Carnarvon,LP-113H,115.399502,-20.815917,West Australian Petroleum Pty Limited,EXT,SUSP,Barrow Island,19650708,19650811,20260417
Yowalga 1,W000126,Officer,PE-147H,125.96671,-26.169986,Hunt Oil Company,STR,P&A STR,,19650916,19650927,20260417
Pinjarra 1,W000127,Perth,LP-128H,115.771122,-32.675543,West Australian Petroleum Pty Limited,NFW,P&A,,19651005,19651231,20260417
Barrow_L52,W000133,Northern Carnarvon,LP-113H,115.376306,-20.816068,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19651110,19651117,20260417
Barrow_H38,W000140,Northern Carnarvon,LP-113H,115.338803,-20.83855,West Australian Petroleum Pty Limited,EXT,P&A,Barrow Island,19660122,19660130,20260417
Merlinleigh 1,W000150,Southern Carnarvon,PE-28H,114.990654,-24.496689,West Australian Petroleum Pty Limited,STR,P&A STR,,19660518,19660526,20260417
Wandagee 1,W000007,Southern Carnarvon,PE-28H,114.399316,-23.888876,West Australian Petroleum Pty Limited,STR,P&A STR,,19620425,19620617,20260417
Woolmulla 1,W000018,Perth,LP-100H,115.193747,-30.021167,West Australian Petroleum Pty Limited,NFW,P&A,,19621103,19630315,20260417
Exmouth Structure Hole 1,W000025,Northern Carnarvon,LP-18H,114.112592,-22.385009,West Australian Petroleum Pty Limited,STR,P&A STR,,19561101,19561109,20260417
Rough Range South 3,W000045,Northern Carnarvon,LP-18H,114.043377,-22.503812,West Australian Petroleum Pty Limited,STR,P&A STR,,19560710,19560728,20260417
Whaleback 1,W000052,Northern Carnarvon,LP-106H,113.862174,-22.730537,West Australian Petroleum Pty Limited,NFW,P&A,,19630730,19631023,20260417
Goldwyer 1,W000057,Canning,LP-55H,122.384345,-18.379458,West Australian Petroleum Pty Limited,NFW,P&A,,19580817,19581122,20260417
Bonaparte 2,W000078,Bonaparte,LP-114H,128.722362,-15.083827,Alliance Oil Development Aust NL & Assoc Companies,NFW,P&A G,,19640725,19641014,20260417
Mungarra 2,W000084,Perth,LP-119H,115.084752,-28.908192,West Australian Petroleum Pty Limited,STR,P&A STR,,19650125,19650211,20260417
Barrow_L74J,W000089,Northern Carnarvon,LP-113H,115.384872,-20.823339,West Australian Petroleum Pty Limited,EXT,Shut in,Barrow Island,19641104,19641211,20260417
Stansmore Range 2,W000095,Canning,PE-151H,128.000009,-21.263875,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641031,19641101,20260417
