date,time,lat,lng,species,adults,calves,total,location
2008-09-17,06:17,-16.235383,122.972483,HB,1,0,1,Entry to Camden Sound
2008-09-17,06:29,-16.205383,123.0083,HB,4,0,4,Entry to Camden Sound
2008-09-17,07:05,-16.1751,123.0445,HB,1,1,2,Entry to Camden Sound
2008-09-17,07:10,-16.164283,123.059,HB,3,0,3,Entry to Camden Sound
2008-09-17,08:05,-16.050467,123.1953,Unknown,0,0,0,Entry to Camden Sound
2008-09-17,08:14,-16.026317,123.226283,HB,1,0,1,Entry to Camden Sound
2008-09-17,08:19,-16.008383,123.24995,HB,1,1,2,Entry to Camden Sound
2008-09-17,08:25,-15.9922,123.271567,Unknown,0,0,0,Entry to Camden Sound
2008-09-17,09:11,-15.984,123.335917,HB,1,1,2,Entry to Camden Sound
2008-09-17,09:18,-15.978367,123.372417,HB,1,0,1,Entry to Camden Sound
2008-09-17,09:25,-15.972383,123.41615,HB,1,0,1,Entry to Camden Sound
2008-09-17,09:30,-15.969983,123.471833,HB,1,1,2,Entry to Camden Sound
2008-09-17,10:03,-15.967317,123.483283,HB,1,0,1,Entry to Camden Sound
2008-09-17,10:05,-15.965983,123.499317,HB,1,1,2,Entry to Camden Sound
2008-09-17,10:08,-15.964783,123.5103,HB,1,1,2,Entry to Camden Sound
2008-09-17,10:11,-15.96325,123.5291,HB,3,0,3,Entry to Camden Sound
2008-09-17,10:18,-15.963633,123.536667,HB,6,0,6,Entry to Camden Sound
2008-09-17,10:26,-15.985633,123.616883,HB,2,0,2,Entry to Camden Sound
2008-09-17,11:18,-16.019167,123.72575,HB,2,0,2,Entry to Camden Sound
2008-09-17,11:26,-16.017033,123.805217,HB,2,0,2,Entry to Camden Sound
2008-09-17,11:32,-16.0155,123.802717,HB,1,0,1,Entry to Camden Sound
2008-09-17,12:03,-16.014817,123.838117,HB,1,0,1,Entry to Camden Sound
2008-09-17,12:20,-16.021983,123.926667,HB,1,0,1,Entry to Camden Sound
2008-09-17,13:03,-16.031083,124.017967,HB,1,1,2,Entry to Camden Sound
2008-09-17,13:09,-16.034467,124.04845,HB,1,1,2,Entry to Camden Sound
2008-09-17,13:13,-16.038633,124.065967,HB,1,1,2,Entry to Camden Sound
2008-09-17,13:28,-16.14335,124.140433,HB,1,0,1,Entry to Camden Sound
2008-09-17,13:33,-16.062183,124.15425,HB,2,0,2,Entry to Camden Sound
2008-09-17,14:11,-16.070767,124.193867,HB,2,1,3,Entry to Camden Sound
2008-09-17,14:19,-16.0743,124.212733,HB,1,0,1,Entry to Camden Sound
2008-09-17,15:01,-16.0913,124.3036,HB,2,0,2,Entry to Camden Sound
2008-09-17,15:05,-16.092283,124.308867,HB,3,0,3,Entry to Camden Sound
2008-09-17,15:11,-16.094317,124.322433,HB,1,0,1,Montgomery Reef
2008-09-17,15:30,-16.085617,124.370783,HB,3,1,4,Montgomery Reef
2008-09-17,15:33,-16.083783,124.381733,HB,1,1,2,Montgomery Reef
2008-09-17,15:34,-16.082167,124.389967,HB,1,1,2,Montgomery Reef
2008-09-17,16:00,-16.0833,124.389983,HB,1,1,2,Montgomery Reef
2008-09-18,07:27,-16.072983,124.324583,HB,1,0,1,Montgomery Reef
2008-09-18,08:18,-16.075233,124.295317,HB,1,0,1,Montgomery Reef
2008-09-18,08:18,-16.075233,124.295317,HB,1,0,1,Montgomery Reef
2008-09-18,09:04,-16.076117,124.271,HB,1,1,2,Montgomery Reef
2008-09-18,09:24,-16.0764,124.2503,HB,2,0,2,Montgomery Reef
2008-09-18,09:24,-16.076417,124.249533,HB,1,0,1,Montgomery Reef
2008-09-18,10:28,-16.03675,124.235483,HB,1,0,1,Montgomery Reef
2008-09-18,11:04,-16.035183,124.2416,HB,1,0,1,Montgomery Reef
2008-09-18,11:09,-16.0457,124.251617,Unknown,0,0,0,Collier Bay
2008-09-18,11:14,-16.0734,124.27835,HB,1,0,1,Collier Bay
2008-09-18,11:18,-16.0754,124.2931,HB,1,1,2,Collier Bay
2008-09-18,12:05,-15.999133,124.376483,HB,1,0,1,Collier Bay
2008-09-18,12:26,-15.92355,124.377833,HB,1,0,1,Collier Bay
2008-09-18,12:29,-15.912467,124.3775,HB,1,1,2,Collier Bay
2008-09-18,13:09,-15.843567,124.374867,HB,1,1,2,Collier Bay
2008-09-18,13:33,-15.77915,124.366717,HB,2,0,2,Collier Bay
