Section Name,TypeShot,Length(m),Depth IN(m),Depth OUT(m),Heading IN(dd),Heading OUT(dd),Pitch IN(dd),Pitch OUT(dd),Left(m),Right(m),Up(m),Down(m),Temperature(°C),Time,Marker,Y,X,Elevation
B09,START,,,,,,,,,,,,,,,-33.39309805,115.98882110,-18.18
B09,STD,6.44,17.74,18.09,200.1,198.2,-4.7,2.6,0.0,0.0,0.0,0.0,20.8,26/01/23 - 20:24:23,,-33.39315331,115.98880066,-18.09
B09,STD,9.87,18.11,18.78,174.9,171.1,-5.3,1.6,0.0,0.0,0.0,0.0,20.3,26/01/23 - 20:25:10,,-33.39324084,115.98881723,-18.78
B09,STD,17.57,18.76,18.55,188.5,184.3,0.9,2.1,0.0,0.0,0.0,0.0,19.9,26/01/23 - 20:26:20,,-33.39339816,115.98880268,-18.55
B09,STD,6.93,18.48,18.59,204.2,203.9,-0.9,0.4,0.0,0.0,0.0,0.0,19.6,26/01/23 - 20:27:41,,-33.39345585,115.98877467,-18.59
B09,STD,10.97,18.64,19.10,199.1,197.5,-1.3,-2.9,0.0,0.0,0.0,0.0,19.4,26/01/23 - 20:28:41,,-33.39355036,115.98874153,-19.10
B09,STD,10.67,19.13,19.13,221.5,216.9,0.1,-2.9,0.0,0.0,0.0,0.0,19.2,26/01/23 - 20:29:36,,-33.39362667,115.98867211,-19.13
B09,STD,10.65,19.09,19.16,204.0,190.0,-1.4,2.0,0.0,0.0,0.0,0.0,19.0,26/01/23 - 20:30:36,,-33.39371907,115.98864242,-19.16
B09,STD,12.44,19.11,18.96,146.7,150.2,5.7,-2.7,0.0,0.0,0.0,0.0,18.9,26/01/23 - 20:31:40,,-33.39381219,115.98871634,-18.96
B09,STD,8.62,18.97,19.29,153.7,151.5,-2.4,4.2,0.0,0.0,0.0,0.0,18.7,26/01/23 - 20:33:03,,-33.39387966,115.98876184,-19.29
B09,STD,26.33,19.23,19.31,166.1,161.0,-0.8,1.3,0.0,0.0,0.0,0.0,18.6,26/01/23 - 20:34:02,,-33.39410404,115.98885142,-19.31
B09,STD,11.35,19.31,19.21,185.9,185.9,-0.2,1.8,0.0,0.0,0.0,0.0,18.5,26/01/23 - 20:36:07,,-33.39420575,115.98884307,-19.21
B09,STD,2.48,19.18,19.33,187.7,185.9,-1.8,0.1,0.0,0.0,0.0,0.0,18.4,26/01/23 - 20:37:16,,-33.39422795,115.98884083,-19.33
B09,STD,11.61,19.32,19.16,242.8,239.0,-1.6,1.9,0.0,0.0,0.0,0.0,18.4,26/01/23 - 20:37:50,,-33.39428180,115.98873385,-19.16
B09,STD,14.88,19.14,19.00,236.3,235.1,-0.7,-4.5,0.0,0.0,0.0,0.0,18.3,26/01/23 - 20:38:58,,-33.39436082,115.98860493,-19.00
B09,STD,10.34,19.01,19.24,175.9,173.8,-4.7,2.3,0.0,0.0,0.0,0.0,18.2,26/01/23 - 20:40:18,,-33.39445297,115.98861874,-19.24
B09,STD,4.21,19.21,19.28,173.5,171.0,-5.3,3.5,0.0,0.0,0.0,0.0,18.2,26/01/23 - 20:41:36,,-33.39449024,115.98862640,-19.28
B09,STD,8.23,19.27,19.61,173.8,172.3,-6.2,-5.3,0.0,0.0,0.0,0.0,18.2,26/01/23 - 20:42:16,,-33.39456290,115.98864008,-19.61
B09,STD,11.48,19.56,19.97,166.9,164.7,-4.4,-3.7,0.0,0.0,0.0,0.0,18.1,26/01/23 - 20:43:12,,-33.39466170,115.98867442,-19.97
B09,STD,4.07,19.99,20.04,165.5,166.2,1.8,3.6,0.0,0.0,0.0,0.0,18.1,26/01/23 - 20:44:20,,-33.39469678,115.98868657,-20.04
B09,STD,21.95,19.99,19.05,182.6,167.6,0.1,14.2,0.0,0.0,0.0,0.0,18.0,26/01/23 - 20:45:00,,-33.39489101,115.98871466,-19.05
B09,STD,19.43,19.00,20.36,188.4,186.6,-3.5,-6.8,0.0,0.0,0.0,0.0,18.0,26/01/23 - 20:46:56,,-33.39506405,115.98869464,-20.36
B09,STD,17.35,20.37,20.11,314.2,315.4,0.0,0.6,0.0,0.0,0.0,0.0,17.9,26/01/23 - 20:49:03,,-33.39495812,115.98855771,-20.11
B09,STD,8.91,20.15,18.33,247.4,249.2,6.8,12.5,0.0,0.0,0.0,0.0,17.9,26/01/23 - 20:50:41,,-33.39498981,115.98847116,-18.33
B09,STD,13.19,18.34,19.74,134.7,131.8,-3.0,-5.6,0.0,0.0,0.0,0.0,17.9,26/01/23 - 20:51:37,,-33.39506775,115.98857753,-19.74
B09,STD,19.27,19.84,20.09,128.7,128.2,-1.1,1.1,0.0,0.0,0.0,0.0,17.9,26/01/23 - 20:52:52,,-33.39517063,115.98874427,-20.09
B09,EOC,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/01/23 - 00:00:00,,,,
