Section Name,TypeShot,Length(m),Depth IN(m),Depth OUT(m),Heading IN(dd),Heading OUT(dd),Pitch IN(dd),Pitch OUT(dd),Left(m),Right(m),Up(m),Down(m),Temperature(°C),Time,Marker,Y,X,Elevation
B04,START,,,,,,,,,,,,,,,-33.39365810,115.98606925,-3.50
B04,STD,29.76,3.5,5.28,130.4,130,1.9,-1.5,0,0,0,0,24.9,26/01/16 - 20:45:17,,-33.39382249,115.98632352,-5.28
B04,STD,12.35,5.33,6.49,103.6,100.8,-5.3,-6,0,0,0,0,24.8,26/01/16 - 20:48:01,,-33.39384092,115.98645677,-6.49
B04,STD,11.69,6.52,7.08,107.7,97.1,-2.1,-1.7,0,0,0,0,24.8,26/01/16 - 20:49:14,J1,-33.39385575,115.98659162,-7.08
B04,STD,14.98,7.15,8.49,89.5,98.1,-5.6,-0.3,0,0,0,0,24.7,26/01/16 - 20:50:39,,-33.39385571,115.98676415,-8.49
B04,STD,19.9,8.45,9.36,68.4,61.8,3.8,-5.6,0,0,0,0,24.7,26/01/16 - 20:52:13,,-33.39377049,115.98696698,-9.36
B04,STD,16.45,9.38,9.98,82.2,60.4,-3.3,-6.5,0,0,0,0,24.6,26/01/16 - 20:53:46,,-33.39370654,115.98716431,-9.98
B04,STD,17.03,10,10.98,103.3,99.4,-4.8,-4.5,0,0,0,0,24.5,26/01/16 - 20:55:13,,-33.39372914,115.98735050,-10.98
B04,STD,17.23,10.97,11.31,82.3,75.3,-2.3,-3.3,0,0,0,0,24.4,26/01/16 - 20:57:07,,-33.39368985,115.98754169,-11.31
B04,STD,2.51,11.39,11.71,83.6,83.8,-4.1,-9.4,0,0,0,0,24.4,26/01/16 - 20:58:43,,-33.39368654,115.98756845,-11.71
B04,STD,16.31,11.71,12.12,85.8,82.2,-5.1,-2.7,0,0,0,0,24.3,26/01/16 - 20:59:27,,-33.39366428,115.98774714,-12.12
B04,STD,18.25,12.17,13.07,68.4,67.8,-7,-6.1,0,0,0,0,24.1,26/01/16 - 21:00:54,,-33.39359773,115.98792715,-13.07
B04,STD,14.85,13.1,13.4,46.4,44.4,-4.9,-0.9,0,0,0,0,23.7,26/01/16 - 21:02:37,,-33.39349996,115.98803951,-13.40
B04,STD,11.88,13.47,13.11,27.1,25.4,-5.1,-5.3,0,0,0,0,23.4,26/01/16 - 21:04:51,,-33.39340240,115.98809365,-13.11
B04,STD,11.31,13.08,13.07,41.8,34.8,-3.9,2.9,0,0,0,0,23.1,26/01/16 - 21:06:03,,-33.39331789,115.98817288,-13.07
B04,STD,6.89,13.04,13.62,118.9,119.5,-5.4,-2.5,0,0,0,0,22.9,26/01/16 - 21:07:19,,-33.39334590,115.98823927,-13.62
B04,STD,14.94,13.62,14.02,121.4,112.9,3.4,-1.4,0,0,0,0,22.6,26/01/16 - 21:08:06,,-33.39339872,115.98839623,-14.02
B04,STD,11.37,14.04,15.01,80.7,78.6,-4.9,-7.6,0,0,0,0,22.3,26/01/16 - 21:09:41,,-33.39337624,115.98851718,-15.01
B04,STD,2.83,15,15.4,76.4,72.9,-9.3,-8.1,0,0,0,0,22.2,26/01/16 - 21:10:47,J2,-33.39336842,115.98854680,-15.40
B04,STD,2.21,15.4,15.67,70.1,67,-6.2,-6.9,0,0,0,0,21.9,26/01/16 - 21:11:26,,-33.39336035,115.98856909,-15.67
B04,STD,4.71,15.72,16.3,52.2,52.6,-9.9,-5.8,0,0,0,0,21.7,26/01/16 - 21:12:06,,-33.39333349,115.98860820,-16.30
B04,STD,13.29,16.32,18.15,52,46,-6.6,-9.8,0,0,0,0,21.2,26/01/16 - 21:12:54,J3,-33.39325028,115.98871888,-18.15
B04,STD,10.11,18.16,18.72,17.1,15.6,-6,2.9,0,0,0,0,20.8,26/01/16 - 21:14:06,,-33.39316183,115.98874724,-18.72
B04,STD,8.55,18.68,18.48,1.9,359.5,2.7,4,0,0,0,0,20.4,26/01/16 - 21:15:11,,-33.39308449,115.98874703,-18.48
B04,STD,6.97,18.47,18.18,103.9,106.3,2.3,10.7,0,0,0,0,20,26/01/16 - 21:16:13,,-33.39309805,115.98882110,-18.18
B04,STD,0.52,18,18.03,65.6,66.3,2.8,4.2,0,0,0,0,19.8,26/01/16 - 21:17:14,,-33.39309599,115.98882617,-18.03
B04,STD,11.75,18.05,18.47,87.4,83.1,-2.9,-5.4,0,0,0,0,19.5,26/01/16 - 21:17:46,,-33.39308196,115.98895595,-18.47
B04,STD,9.87,18.46,18.51,88.3,85.1,-7.6,1.1,0,0,0,0,19.3,26/01/16 - 21:18:53,,-33.39307275,115.98906438,-18.51
B04,STD,0.39,18.55,18.62,94.4,98.3,-12.6,-15.3,0,0,0,0,19.2,26/01/16 - 21:19:47,,-33.39307296,115.98906857,-18.62
B04,STD,23.8,18.66,18.51,91,88.8,-4.5,0.2,0,0,0,0,18.8,26/01/16 - 21:20:11,,-33.39306344,115.98932903,-18.51
B04,STD,16.46,18.47,17.1,62.7,63.2,-0.9,10.2,0,0,0,0,18.5,26/01/16 - 21:22:02,,-33.39299137,115.98948485,-17.10
B04,STD,36.47,17.02,17.78,71.8,72.3,-3.4,2.9,0,0,0,0,18.3,26/01/16 - 21:23:36,,-33.39287846,115.98985704,-17.78
B04,STD,13.23,17.77,17.12,81.1,82.3,-0.9,3.2,0,0,0,0,18.2,26/01/16 - 21:26:05,,-33.39285671,115.98999851,-17.12
B04,STD,1.86,17.02,17.28,86.2,89.7,-5,-3.7,0,0,0,0,18.2,26/01/16 - 21:27:37,,-33.39285532,115.99001900,-17.28
B04,STD,28.21,17.23,17.71,60.1,60.5,-0.7,-4.3,0,0,0,0,18.1,26/01/16 - 21:28:23,,-33.39272141,115.99027959,-17.71
B04,STD,17.54,17.68,17.63,60.2,62.5,-0.6,2.8,0,0,0,0,18,26/01/16 - 21:31:09,,-33.39263979,115.99044559,-17.63
B04,STD,13.68,17.59,16.78,67.8,64.4,5.7,4.1,0,0,0,0,18,26/01/16 - 21:34:17,,-33.39258479,115.99058173,-16.78
B04,STD,4.04,16.66,16.94,64.4,62.5,-3.7,3.5,0,0,0,0,18,26/01/16 - 21:35:33,,-33.39256720,115.99062061,-16.94
B04,STD,34.7,16.96,16.95,55.4,62.1,0.1,1.2,0,0,0,0,18,26/01/16 - 21:36:13,,-33.39238859,115.99095392,-16.95
B04,STD,16.54,16.9,16.08,76.5,80.6,1.7,7.2,0,0,0,0,18,26/01/16 - 21:38:58,,-33.39235192,115.99113260,-16.08
B04,STD,19.53,16.11,13.22,46.8,49.7,6.6,11.2,0,0,0,0,18.1,26/01/16 - 21:40:31,,-33.39223022,115.99128767,-13.22
B04,STD,11.46,13.11,11.63,50.7,52.4,4.8,5.5,0,0,0,0,18.3,26/01/16 - 21:42:16,,-33.39216308,115.99138290,-11.63
B04,STD,19.87,11.62,11,64.5,49.7,2.5,8.6,0,0,0,0,19,26/01/16 - 21:43:30,,-33.39205168,115.99158395,-11.00
B04,STD,34.23,11.01,10.13,76.5,76.2,1.9,3,0,0,0,0,20.3,26/01/16 - 21:44:54,,-33.39196775,115.99194138,-10.13
B04,STD,10.58,10.04,10.17,67.2,60.2,0.1,-3.5,0,0,0,0,20.8,26/01/16 - 21:47:14,,-33.39192026,115.99204828,-10.17
B04,STD,5.39,10.18,10.05,75,69.9,2.3,0.7,0,0,0,0,21.2,26/01/16 - 21:48:18,,-33.39190316,115.99210541,-10.05
B04,STD,11.86,10.08,9.72,55.6,56.4,0.6,1.7,0,0,0,0,21.7,26/01/16 - 21:49:06,,-33.39184017,115.99220972,-9.72
