Section Name,TypeShot,Length(m),Depth IN(m),Depth OUT(m),Heading IN(dd),Heading OUT(dd),Pitch IN(dd),Pitch OUT(dd),Left(m),Right(m),Up(m),Down(m),Temperature(°C),Time,Marker,Y,X,Elevation
B05,START,,,,,,,,,,,,,,,-33.39365810,115.98606925,-3.50
B05,STD,29.77,3.56,5.36,128.0,129.5,1.3,-2.5,0.0,0.0,0.0,0.0,24.3,26/01/17 - 21:13:36,,-33.39382202,115.98632375,-5.36
B05,STD,12.35,5.33,6.56,106.3,102.6,-7.8,-5.1,0.0,0.0,0.0,0.0,24.3,26/01/17 - 21:15:50,,-33.39384105,115.98645852,-6.56
B05,STD,11.63,6.55,7.10,102.7,99.9,-2.8,2.5,0.0,0.0,0.0,0.0,24.3,26/01/17 - 21:16:54,,-33.39385638,115.98658905,-7.10
B05,STD,45.60,6.99,7.68,181.0,175.2,4.3,0.2,0.0,0.0,0.0,0.0,24.4,26/01/17 - 21:18:12,,-33.39426983,115.98663949,-7.68
B05,STD,32.74,7.65,7.79,163.6,165.1,-2.3,-4.6,0.0,0.0,0.0,0.0,24.4,26/01/17 - 21:21:19,,-33.39455055,115.98674920,-7.79
B05,STD,43.48,7.79,9.81,132.4,131.7,-1.3,-0.7,0.0,0.0,0.0,0.0,24.4,26/01/17 - 21:23:36,,-33.39480276,115.98711001,-9.81
B05,STD,11.22,9.76,10.44,139.3,138.8,-5.3,-2.8,0.0,0.0,0.0,0.0,24.4,26/01/17 - 21:26:10,,-33.39487659,115.98719276,-10.44
B05,STD,23.78,10.47,9.37,216.9,212.8,2.5,0.3,0.0,0.0,0.0,0.0,24.3,26/01/17 - 21:27:20,,-33.39505783,115.98706030,-9.37
B05,STD,19.47,9.39,8.25,198.5,199.2,4.0,2.2,0.0,0.0,0.0,0.0,24.2,26/01/17 - 21:29:06,,-33.39522534,115.98700088,-8.25
B05,STD,4.06,8.37,8.17,205.0,199.3,3.2,1.2,0.0,0.0,0.0,0.0,24.2,26/01/17 - 21:30:39,,-33.39525999,115.98698734,-8.17
B05,STD,7.50,8.17,8.42,89.1,90.1,0.0,-2.3,0.0,0.0,0.0,0.0,24.2,26/01/17 - 21:31:38,,-33.39525733,115.98706844,-8.42
