X,Y,OBJECTID,TREE_ID,DATE_PLANTED,SUBURB,BOTANICAL_NAME,COMMON_NAME,FAMILY,TREE_HEIGHT,RARE_SPECIES,HISTORIC_SIGNIFICANCE,COMMUNITY_SIGNIFICANCE,SIGNIFICANT_GROUP,RETIRED
12897674.3239,-3757874.2832,1,1918,2007/08/08 00:00:00+00,PERTH,Quercus palustris,Pin Oak,Fagaceae,1.5,No,No,No,No,
12897683.1188,-3757892.3873,3,1920,2019/05/10 03:21:27+00,Perth,Cinnamomum camphora,Camphor Laurel,Lauraceae,,No,No,No,No,
12897663.6354,-3757923.8843,4,1921,2019/05/10 03:21:27+00,Perth,Araucaria heterophylla,Norfolk Island Pine,Araucariaceae,,No,No,No,No,
12897664.0816,-3757945.2728,5,1922,2019/05/10 03:24:19+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897680.6671,-3757931.7563,6,1923,2019/05/10 03:24:06+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897696.0305,-3757921.777,7,1924,2019/05/10 03:24:19+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897679.4415,-3757953.2691,8,1925,2019/05/10 03:21:58+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897695.1375,-3757940.2875,9,1926,2019/05/10 03:21:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897713.0568,-3757931.0926,10,1927,2019/05/10 03:21:58+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897715.2844,-3757913.1287,11,1928,2019/05/10 03:20:38+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897732.5415,-3757924.5414,12,1930,2019/05/10 03:20:21+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897725.4202,-3757945.1399,13,1931,2019/05/10 03:22:22+00,Perth,Araucaria heterophylla,Norfolk Island Pine,Araucariaceae,,No,No,No,No,
12897737.656,-3757960.2272,16,1934,2019/05/10 03:23:43+00,Perth,Araucaria cunninghamii,Hoop Pine,Araucariaceae,,No,No,No,No,
12897751.2399,-3757921.6501,17,1935,2019/05/10 03:21:14+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897773.173,-3757923.3611,18,1936,2019/05/10 03:21:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897773.1673,-3757944.3542,19,1937,2019/05/10 03:19:28+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897741.5528,-3757941.4643,20,1938,2019/05/10 03:22:22+00,Perth,Araucaria heterophylla,Norfolk Island Pine,Araucariaceae,,No,No,No,No,
12897718.0644,-3757979.7711,22,1940,2019/05/10 03:22:22+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897737.9965,-3757976.8929,23,1941,2019/05/10 03:20:51+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897757.2565,-3757970.4575,24,1942,2019/05/10 03:21:58+00,Perth,Podocarpus elatus,Plum Pine,Podocarpaceae,,No,No,No,No,
12897775.2894,-3757960.6247,25,1943,2019/05/10 03:22:48+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897791.0937,-3757948.4133,26,1944,2019/05/10 03:19:45+00,Perth,Jacaranda mimosifolia,Jacaranda,Bignoniaceae,,No,No,No,No,
12897756.8102,-3757988.038,28,1946,2019/05/10 03:22:48+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897775.952,-3757978.986,29,1947,2019/05/10 03:21:27+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897793.5383,-3757969.1484,30,1948,2019/05/10 03:19:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897809.685,-3757954.846,31,1949,2019/05/10 03:21:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897776.5133,-3757996.8374,32,1950,2019/05/10 03:21:58+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897811.8033,-3757975.1871,33,1951,2019/05/10 03:21:58+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897791.7611,-3758007.1994,34,1952,2019/05/10 03:19:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897810.238,-3757995.7853,35,1953,2019/05/10 03:23:10+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897829.944,-3757982.9287,36,1954,2019/05/10 03:22:48+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897844.1886,-3757971.2452,37,1955,2019/05/10 03:19:45+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897838.2926,-3758002.8741,39,1957,2019/05/10 03:20:38+00,Perth,Podocarpus elatus,Plum Pine,Podocarpaceae,,No,No,No,No,
12897811.4627,-3758015.2058,40,1958,2019/05/10 03:20:51+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897830.0599,-3758023.8636,41,1959,2019/05/10 03:20:51+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897849.9837,-3758020.8431,42,1960,2019/05/10 03:24:06+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897859.7827,-3758008.8996,43,1961,2019/05/10 03:20:38+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897872.8005,-3757996.5756,44,1962,2019/05/10 03:23:10+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897878.9265,-3758005.2319,45,1963,2019/05/10 03:20:21+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897871.9091,-3758024.2579,46,1964,2019/05/10 03:19:45+00,Perth,Podocarpus elatus,Plum Pine,Podocarpaceae,,No,No,No,No,
12897883.6011,-3758037.505,48,1966,2019/05/10 03:20:51+00,Perth,Erythrina x sykesii,Flame Tree,Fabaceae,,No,No,No,No,
12897906.9808,-3758042.0948,49,1967,2019/05/10 03:24:19+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897923.7891,-3758047.2186,50,1968,2019/05/10 03:19:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897921.4511,-3758026.4846,51,1969,2019/05/10 03:22:48+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897904.3085,-3758021.7594,52,1970,2019/05/10 03:21:14+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897898.631,-3758003.6528,53,1971,2019/05/10 03:19:45+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897916.4406,-3758005.8879,54,1972,2019/05/10 03:20:38+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897908.3113,-3757987.2584,55,1973,2019/05/10 03:23:25+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897888.4967,-3757985.4163,56,1974,2019/05/10 03:19:28+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897896.7397,-3757970.8528,57,1975,2019/05/10 03:20:21+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897875.4696,-3757970.7231,58,1976,2019/05/10 03:23:25+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897859.1114,-3757956.0303,59,1977,2019/05/10 03:21:27+00,Perth,Ficus microcarpa var hillii,Hill's Fig,Moraceae,,No,No,No,No,
12897926.6832,-3757992.3751,60,1978,2019/05/10 03:24:19+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897945.7199,-3757996.1734,61,1979,2019/05/10 03:21:14+00,Perth,Cinnamomum camphora,Camphor Laurel,Lauraceae,,No,No,No,No,
12897961.9684,-3757986.9959,62,1980,2019/05/10 03:23:10+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897951.5043,-3758015.2042,63,1982,2019/05/10 03:21:58+00,Perth,Cinnamomum camphora,Camphor Laurel,Lauraceae,,No,No,No,No,
12897933.4666,-3758010.6117,64,1983,2019/05/10 03:21:14+00,Perth,Araucaria columnaris,Cook Island Pine,Araucariaceae,,No,No,No,No,
12897937.8153,-3758030.4203,65,1984,2019/05/10 03:19:28+00,Perth,Araucaria heterophylla,Norfolk Island Pine,Araucariaceae,,No,No,No,No,
12898488.7373,-3756962.5667,67,3660,2019/05/10 03:21:14+00,East Perth,Eucalyptus polyanthemos,Red Box,Myrtaceae,,No,No,No,No,
12898511.8921,-3756976.4768,68,3661,2019/05/10 03:19:45+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898542.7208,-3756996.81,70,3663,2019/05/10 03:20:21+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898511.9972,-3756943.0143,71,3664,2019/05/10 03:19:45+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898490.4001,-3756950.2305,72,3665,2019/05/10 03:20:21+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898535.4882,-3756944.1956,74,3667,2019/05/10 03:23:10+00,East Perth,Eucalyptus melliodora,Yellow Box,Myrtaceae,,No,No,No,No,
12898536.3806,-3756923.7341,75,3668,2019/05/10 03:21:14+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898445.2045,-3756953.5189,76,3669,2019/05/10 03:21:45+00,East Perth,Eucalyptus melliodora,Yellow Box,Myrtaceae,,No,No,No,No,
12898447.9942,-3756927.1489,77,3670,2019/05/10 03:20:51+00,East Perth,Eucalyptus melliodora,Yellow Box,Myrtaceae,,No,No,No,No,
12898469.0274,-3756924.6482,78,3671,2019/05/10 03:23:43+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898454.2193,-3756893.5615,79,3672,2019/05/10 03:21:27+00,East Perth,Eucalyptus melliodora,Yellow Box,Myrtaceae,,No,No,No,No,
12898471.2574,-3756911.9276,80,3673,2019/05/10 03:19:28+00,East Perth,Eucalyptus melliodora,Yellow Box,Myrtaceae,,No,No,No,No,
12898492.2945,-3756915.6038,81,3674,2019/05/10 03:21:27+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898491.1865,-3756879.2532,82,3675,2019/05/10 03:19:45+00,East Perth,Eucalyptus melliodora,Yellow Box,Myrtaceae,,No,No,No,No,
12898539.9407,-3756893.3016,83,3676,2019/05/10 03:20:51+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898538.161,-3756902.8794,84,3677,2019/05/10 03:19:45+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12898514.1128,-3756918.8736,85,3678,2019/05/10 03:23:43+00,East Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
