Local system number,call number,Title,Date,Description of physical object,notes,Summary,Subject headings: Topical,Caption for URL,URL,URL2
b36089746,ACC 8661A/1,John Hutchinson's bird songs recorded on 11 October 1962.,1962,1 audiotape reel (approximately 14 min.),"Copied onto 7 inch spool No. 1, from 2.5-10 minutes on 20 Oct 1962. Recorded using Fi-Cord 1A portable reel-to-reel tape recorder.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A1, consists of field recordings of bird calls and sounds at the Gascoyne Research Station, Carnarvon, Western Australia on 11 Oct 1962. This tape reel is accompanied by a field note. ACC 8661A/1.",Birds;Birdsongs;Birdsongs;Honeyeaters;Wedgebills;Peaceful doves,John Hutchinson's bird songs recorded on 11 October 1962. Part 1;John Hutchinson's bird songs recorded on 11 October 1962. Part 1,http://purl.slwa.wa.gov.au/slwa_b3608974_1,
b36111673,ACC 8661A/2,John Hutchinson's bird songs recorded on 11 May and 18 May 1963.,1963,1 audiotape reel (approximately 26 min.),"Respooled from 3 1/4 inch reel, tail out, large hub. Recorded using Fi-Cord 1A portable reel-to-reel tape recorder. Interference noise of microphone by Babblers. ","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A2, consists of field recordings of bird calls and sounds at the Gascoyne Research Station, Carnarvon, Western Australia on 11 May 1963 and the Mangaroon sheep station via Carnavon on 18 May 1963. This tape reel is accompanied by a field note. ACC 8661A/2 ",Birds;Willy wagtails;Cuckoo-shrikes;Galah;Honeyeaters;Yellow-throated miners;Pied butcherbirds;Pomatostomus temporalis;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 11 May 1963 and 18 May 1963. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3611167_1,
b36111776,ACC 8661A/3,John Hutchinson's bird songs recorded in October 1962.,1962,"1 audiotape reel (approximately 27 min., 30 sec.)","Respooled from 3 1/4 inch reel, tail out, large hub. Recorded using Fi-Cord 1A portable reel-to-reel tape recorder.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A3, consists of field recordings of bird calls and sounds at Derby, Broome and Roebourne over a period of days in October 1962 including 5 October 1962, 10 October 1962 and other dates. This tape reel is accompanied by a field note. ACC 8661A/3 ",Birds;Willy wagtails;Curlews;Honeyeaters;Kingfishers;Wedgebills;Yellow-throated miners;Doves;Birdsongs;Birdsongs;Birdsongs;Birdsongs;Wedgebills,John Hutchinson's bird songs recorded in October 1962. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3611177_1,
b36111788,ACC 8661A/4,John Hutchinson's bird songs recorded around 1962.,1962,1 audiotape reel (approximately 8 min.),"Respooled from 3 1/4 inch reel, tail out, large hub. Recorded using Fi-Cord 1A portable reel-to-reel tape recorder.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A4, consists of field recordings of bird calls and sounds at Gogo Cattle Station, Fitzroy Crossing, Kimberley, possibly in 1962. This tape reel is accompanied by a field note. ACC 8661A/4 ",Birds;Honeyeaters;Yellow-throated miners;Pied butcherbirds;Scissors grinder;Shrike-thrushes;Doves;Ducks;Pachycephala rufiventris;Birdsongs;Birdsongs;Birdsongs;Thrushes,John Hutchinson's bird songs recorded around 1962. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3611178_1,
b36120224,ACC 8661A/5,John Hutchinson's bird songs recorded on 25 January 1963.,1963,"1 audiotape reel (approximately 8 min., 40 sec.) ","Respooled from 3 1/4 inch reel, tail out, large hub. This recording was done to test a new tape recorder with Norman Robinson. One of the first lightweight, miniature, transistorised tape recorders. Battery operated.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A5, consists of field recordings of bird calls made on the outskirts of Canberra, ACT on 25 January 1963. This tape reel is accompanied by a field note. ACC 8661A/5 ",Birds;Birdsongs;Lyrebirds,John Hutchinson's bird songs recorded on 25 January 1963. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3612022_1,
b36120236,ACC 8661A/6,John Hutchinson's bird songs recorded around September 1962.,1962,1 audiotape reel (approximately 8 min.),"Respooled from 3 1/4 inch reel, tail out, large hub. Recorded using Fi-Cord 1A portable reel-to-reel tape recorder.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A6, consists of field recordings of bird calls made in Derby around September 1962. John was accompanied by Peter Slater, a photographer. This tape reel is accompanied by a field note. ACC 8661A/6 ",Birds;Kookaburra;Honeyeaters;Scissors grinder;Pachycephala rufiventris;Birdsongs,John Hutchinson's bird songs recorded around September 1962. Part 1,http://purl.slwa.wa.gov.au/slwa_b3612023_1,
b36142098,ACC 8661A/7,John Hutchinson's bird songs recorded around September 1962.,1962,"1 audiotape reel (approximately 6 min., 37 sec.) ","Respooled from 3 1/4 inch reel, tail out, large hub. Recorded using Fi-Cord 1A portable reel-to-reel recorder.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A7, consists of field recordings of bird calls made in Derby around September 1962. This tape reel is accompanied by a field note. ACC 8661A/7 ",Birds;Kookaburra;Honeyeaters;Scissors grinder;Hawks;Pardalotes;Whistling kites;Cacatua tenuirostris;Birdsongs;Flying foxes,John Hutchinson's bird songs recorded around September 1962. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3614209_1,
b36142165,ACC 8661A/8,John Hutchinson's bird songs recorded in August 1962.,1962,"1 audiotape reel (approximately 22 min., 14 sec.) ","Respooled from 3 1/4 inch reel, tail out, large hub.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A8, consists of field recordings of bird calls made at Carlton Cattle Station, Kimberleys on the South bank of the Ord River in August 1962. This tape reel is accompanied by a field note. ACC 8661A/8 ",Birds;Kookaburra;Vanellus miles;Lories;Parrots;Pardalotes;Cuckoo-shrikes;Trillers;Whistlers (Birds);Pomatostomus temporalis;Pachycephala rufiventris;Birdsongs,John Hutchinson's bird songs recorded in August 1962. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3614216_1,
b36142232,ACC 8661A/9,John Hutchinson's bird songs recorded in July 1962.,1962,"1 audiotape reel (approximately 8 min., 57 sec.) ","Respooled from 3 1/4 inch reel, tail out, large hub.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A9, consists of field recordings of bird calls made at Carlton Cattle Station, Ord River, Kimberleys in July 1962. This tape reel is accompanied by a field note. ACC 8661A/9 ",Birds;Honeyeaters;Crows;Pied butcherbirds;Cuckoos;White-winged trillers;Gerygone olivacea;Woodswallows;Mistletoe birds;Great bowerbirds;Pomatostomus temporalis;Pachycephala rufiventris;Birdsongs,John Hutchinson's bird songs recorded in July 1962. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3614223_1,
b36160647,ACC 8661A/10,John Hutchinson's bird songs recorded on 2 October 1962.,1962,"1 audiotape reel (approximately 14 min., 18 sec.) ","Respooled from 3 1/4 inch reel, tail out, large hub.","John Hutchinson is an ornithologist and a birdcall recordist. Tape 1A10, consists of field recordings of bird calls made in Canberra with Norman Robinson on 2 October 1962.This tape reel is accompanied by a field note. ACC 8661A/10 ",Birds;Magpies;Crows;Albatrosses;Bellbirds;Kookaburra;Birdsongs,John Hutchinson's bird songs recorded on 2 October 1962.;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3616064_1,
